Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:51:32,2018-11-06 20:51:53,21.058s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:51:33,2018-11-06 20:51:53,20.561s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:51:33,2018-11-06 20:51:40,7.120s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:51:40,2018-11-06 20:51:43,2.735s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:51:43,2018-11-06 20:51:44,0.605s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:51:44,2018-11-06 20:51:44,0.193s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:51:44,2018-11-06 20:51:48,4.228s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:51:48,2018-11-06 20:51:53,4.928s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:51:53,2018-11-06 20:51:53,0.234s,PASSED
